"","USD.Pledged","State","Backers.Count","Blurb.Length","Blurb.Caps","Campaign.Length","Decision.Timing","Goal","Name.Length","Name.Caps","Category","Category..parent.only.","Country","Spotlight","Staff.Pick"
"3474",51,0,5,135,1,2935144,2935145,10000,20,2,"film   video television","film & video","US",FALSE,FALSE
"3309",0,0,0,133,15,2592000,2592000,5,35,4,"games live games","games","CA",FALSE,FALSE
"1061",10544.06488343,1,116,134,3,2595600,2595602,9000,12,2,"photography photobooks","photography","NL",TRUE,FALSE
"666",91.9795014,0,3,76,4,3888000,3888003,4000,20,2,"photography photobooks","photography","DE",FALSE,FALSE
"2066",984.7287188906,1,31,64,2,981569,981569,5000,18,2,"film   video drama","film & video","DK",TRUE,FALSE
"1497",3297.3,1,55,127,23,2592000,2592000,3000,59,29,"music pop","music","US",TRUE,FALSE
"367",297,0,6,89,4,1814400,1814400,500,54,6,"photography fine art","photography","US",FALSE,FALSE
"184",1601,1,25,84,17,2592000,2592000,1000,47,7,"dance","dance","US",TRUE,FALSE
"470",26272,1,680,117,43,2592000,2592001,25000,60,3,"publishing anthologies","publishing","US",TRUE,TRUE
"2133",1.2339357,0,1,135,5,5187600,5187600,23000,16,1,"technology apps","technology","GB",FALSE,FALSE
"1398",4593,1,35,83,3,2721006,2721006,4500,38,6,"art","art","US",TRUE,FALSE
"3029",55621,1,473,134,21,3024000,3024001,20000,44,8,"technology gadgets","technology","US",TRUE,FALSE
"777",1197,1,37,97,3,2592000,2592004,500,29,4,"music classical music","music","US",TRUE,FALSE
"3121",3248,1,60,95,2,2112195,2112195,2000,29,4,"music world music","music","US",TRUE,FALSE
"361",3883,1,75,41,6,2160000,2160000,3200,32,5,"music world music","music","US",TRUE,TRUE
"3494",0,0,0,135,9,2582665,95648,6500,44,28,"music world music","music","GB",FALSE,FALSE
"1719",0,0,0,132,1,5187600,5187600,6000,33,5,"publishing periodicals","publishing","US",FALSE,FALSE
"1343",5706.933274,1,104,127,10,2592000,2592000,2200,17,3,"publishing children s books","publishing","GB",TRUE,TRUE
"1483",36921,1,662,134,6,2678400,2678400,4200,21,10,"technology","technology","US",TRUE,FALSE
"976",64.99449523,0,8,45,2,4320000,4320000,3500,32,7,"photography photobooks","photography","GB",FALSE,FALSE
"3013",1237,1,11,57,1,5180400,5180401,1200,6,1,"film   video narrative film","film & video","US",TRUE,FALSE
"1672",546,1,3,115,4,860400,860400,495,48,6,"publishing academic","publishing","US",TRUE,FALSE
"2604",75642,1,176,135,1,2667180,2667180,75000,16,3,"film   video documentary","film & video","US",TRUE,FALSE
"3299",175,1,3,95,1,2592000,2592001,100,29,3,"art illustration","art","US",TRUE,FALSE
"231",1562,1,17,35,1,2635921,2635921,1000,30,5,"music","music","US",TRUE,FALSE
"2743",901.11,1,20,118,7,1814400,1814453,650,60,4,"music classical music","music","US",TRUE,FALSE
"2368",15,0,3,134,2,2592000,2592000,4500,60,11,"dance spaces","dance","US",FALSE,FALSE
"3303",2608.66,1,78,134,12,1814400,1814400,2500,58,10,"art public art","art","US",TRUE,FALSE
"3311",0,0,0,133,0,1697752,1697752,3000,41,35,"games live games","games","US",FALSE,FALSE
"2270",20114,1,966,60,48,2592000,2592000,6000,59,45,"comics comic books","comics","US",TRUE,FALSE
"590",1772,1,62,135,11,604800,604802,500,59,13,"games playing cards","games","US",TRUE,FALSE
"1933",26050.3,1,729,125,2,2561352,2561352,25000,27,3,"publishing fiction","publishing","US",TRUE,TRUE
"1093",6660,1,47,126,1,3888000,3888000,2500,21,4,"food","food","US",TRUE,FALSE
"1981",1,0,1,127,5,2595600,2595600,20000,60,7,"design architecture","design","US",FALSE,FALSE
"1955",2545,1,28,101,5,2592000,2592000,2500,16,4,"music faith","music","US",TRUE,FALSE
"2050",141,0,4,68,3,1728000,1728001,2500,52,6,"technology apps","technology","US",FALSE,FALSE
"995",0,0,0,88,1,1728000,1728004,2000,9,2,"food small batch","food","US",FALSE,FALSE
"3198",150,0,3,135,8,2592000,2592002,500,17,2,"film   video television","film & video","US",FALSE,FALSE
"832",19500,1,17,86,3,1393703,1393703,19500,29,4,"film   video documentary","film & video","US",TRUE,FALSE
"1581",2071,1,54,63,1,3464242,3464242,1750,20,3,"comics graphic novels","comics","US",TRUE,FALSE
"2611",0,0,0,135,4,3456000,3456000,250000,41,2,"technology web","technology","US",FALSE,FALSE
"1986",3476,1,33,132,10,864000,864051,2500,29,5,"photography nature","photography","US",TRUE,TRUE
"3449",7830.01,1,353,133,14,3895144,3895170,5500,28,4,"publishing anthologies","publishing","US",TRUE,TRUE
"3594",18308,1,189,128,3,1814400,1814429,1500,45,3,"crafts woodworking","crafts","US",TRUE,FALSE
"629",1771.31514846,0,34,129,15,2592000,2592000,35000,9,9,"publishing art books","publishing","NL",FALSE,FALSE
"941",6175,1,61,132,9,2588400,2588400,5000,60,9,"music rock","music","US",TRUE,FALSE
"1518",10615,1,228,83,19,3456000,3456000,10000,41,35,"music pop","music","US",TRUE,TRUE
"978",4869,1,36,105,3,1869388,1869389,700,44,6,"photography photobooks","photography","US",TRUE,FALSE
"1428",1251,0,23,130,5,2592000,2427513,5000,37,9,"publishing periodicals","publishing","US",FALSE,FALSE
"1742",1002,0,3,105,2,2592000,2592000,4500,36,1,"photography places","photography","US",FALSE,FALSE
"2700",9262,1,94,135,6,2199211,2199211,7500,47,5,"music classical music","music","US",TRUE,FALSE
"1966",201,0,2,134,8,3489914,3489916,150000,20,10,"technology apps","technology","US",FALSE,FALSE
"1377",3496,1,43,135,3,4407752,4407752,3200,34,4,"publishing children s books","publishing","US",TRUE,FALSE
"3550",0,0,0,79,2,2592000,2592000,5000,13,3,"crafts woodworking","crafts","US",FALSE,FALSE
"3317",0.961164852,0,1,77,1,4320000,4320000,10000,18,5,"film   video television","film & video","MX",FALSE,FALSE
"1385",1038,1,50,132,3,1296000,1296000,600,31,4,"publishing letterpress","publishing","US",TRUE,FALSE
"849",1296.83107142,0,7,57,1,2640445,2640445,2900,26,4,"fashion jewelry","fashion","ES",FALSE,FALSE
"3178",104,1,8,72,2,1728000,1728000,100,19,5,"journalism photo","journalism","US",TRUE,FALSE
"545",1178,1,60,84,8,1206000,1206000,1000,21,4,"games tabletop games","games","US",TRUE,FALSE
"317",2006,1,23,112,2,2592000,2592000,2000,15,6,"journalism audio","journalism","US",TRUE,FALSE
"454",37211,1,612,11,3,2592000,2592000,5000,22,4,"art illustration","art","US",TRUE,FALSE
"1022",23.69547915,0,2,112,6,5184000,5184000,80000,48,7,"technology sound","technology","DE",FALSE,FALSE
"3521",38988.32428625,1,1581,112,7,2592000,2592001,7100,50,6,"publishing anthologies","publishing","CA",TRUE,TRUE
"284",910,1,22,128,6,2592000,2592001,550,18,4,"publishing young adult","publishing","US",TRUE,FALSE
"1972",1.58975435,0,1,135,1,5187600,5187602,12000,34,6,"film   video music videos","film & video","GB",FALSE,FALSE
"2477",498,0,13,43,5,5184000,5184000,10000,23,4,"food small batch","food","US",FALSE,FALSE
"2149",1971,0,34,83,1,5180400,5180401,2500,43,5,"design interactive design","design","US",FALSE,FALSE
"2452",30,0,2,134,1,1296000,1296003,800,15,2,"film   video fantasy","film & video","US",FALSE,FALSE
"3420",1,0,1,131,8,2592000,2592000,500,17,3,"film   video television","film & video","US",FALSE,FALSE
"514",0,0,0,135,14,5180400,5180400,1000000,38,5,"music hip hop","music","US",FALSE,FALSE
"3526",0,0,0,133,4,2592000,2592000,4000,14,1,"art video art","art","US",FALSE,FALSE
"903",227753.934651796,1,1466,116,3,2592005,2592005,100000,29,4,"games playing cards","games","SE",TRUE,FALSE
"850",2116,1,31,107,2,2592000,2592000,2000,21,3,"photography photobooks","photography","US",TRUE,FALSE
"3327",256,0,6,133,13,3024163,196768,900,71,12,"photography nature","photography","US",FALSE,FALSE
"2493",6575,1,164,112,3,2602022,2602024,6500,39,5,"music rock","music","US",TRUE,FALSE
"267",1565,1,13,79,9,1728000,1728001,1300,27,8,"dance residencies","dance","US",TRUE,FALSE
"2399",62,0,5,116,2,5187600,5187600,4000,42,1,"technology diy electronics","technology","US",FALSE,FALSE
"370",4269,1,59,131,23,2592000,2592000,4200,33,13,"dance","dance","US",TRUE,FALSE
"3610",0,0,0,133,4,5180400,614862,1000000,25,3,"technology 3d printing","technology","US",FALSE,FALSE
